"FREQUENC","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Every day","Turkey","2014","Cities","Females","From 25 to 64 years","Percentage","0",""
"Every day","Turkey","2014","Cities","Females","65 years or over","Percentage","0",""
"Every week","European Union - 28 countries","2014","Cities","Total","Total","Percentage","30.8","e"
"Every week","European Union - 28 countries","2014","Cities","Total","From 15 to 24 years","Percentage","24.6","e"
"Every week","European Union - 28 countries","2014","Cities","Total","From 25 to 64 years","Percentage","34.2","e"
"Every week","European Union - 28 countries","2014","Cities","Total","65 years or over","Percentage","23.6","e"
"Every week","European Union - 28 countries","2014","Cities","Males","Total","Percentage","38.0","e"
"Every week","European Union - 28 countries","2014","Cities","Males","From 15 to 24 years","Percentage","29.0","e"
"Every week","European Union - 28 countries","2014","Cities","Males","From 25 to 64 years","Percentage","41.7","e"
"Every week","European Union - 28 countries","2014","Cities","Males","65 years or over","Percentage","30.8","e"
"Every week","European Union - 28 countries","2014","Cities","Females","Total","Percentage","24.4","e"
"Every week","European Union - 28 countries","2014","Cities","Females","From 15 to 24 years","Percentage","20.4","e"
"Every week","European Union - 28 countries","2014","Cities","Females","From 25 to 64 years","Percentage","27.3","e"
"Every week","European Union - 28 countries","2014","Cities","Females","65 years or over","Percentage","18.5","e"
"Every week","Belgium","2014","Cities","Total","Total","Percentage","37.0","u"
"Every week","Belgium","2014","Cities","Total","From 15 to 24 years","Percentage","35.8","u"
"Every week","Belgium","2014","Cities","Total","From 25 to 64 years","Percentage","38.5","u"
"Every week","Belgium","2014","Cities","Total","65 years or over","Percentage","33.1","u"
"Every week","Belgium","2014","Cities","Males","Total","Percentage","44.9","u"
"Every week","Belgium","2014","Cities","Males","From 15 to 24 years","Percentage","42.4","u"
"Every week","Belgium","2014","Cities","Males","From 25 to 64 years","Percentage","48.1","u"
"Every week","Belgium","2014","Cities","Males","65 years or over","Percentage","35.8","u"
"Every week","Belgium","2014","Cities","Females","Total","Percentage","29.5","u"
"Every week","Belgium","2014","Cities","Females","From 15 to 24 years","Percentage","29.0","u"
"Every week","Belgium","2014","Cities","Females","From 25 to 64 years","Percentage","29.1","u"
"Every week","Belgium","2014","Cities","Females","65 years or over","Percentage","30.7","u"
"Every week","Bulgaria","2014","Cities","Total","Total","Percentage","20.6",""
"Every week","Bulgaria","2014","Cities","Total","From 15 to 24 years","Percentage","10.3",""
"Every week","Bulgaria","2014","Cities","Total","From 25 to 64 years","Percentage","24.3",""
"Every week","Bulgaria","2014","Cities","Total","65 years or over","Percentage","12.7",""
"Every week","Bulgaria","2014","Cities","Males","Total","Percentage","28.7",""
"Every week","Bulgaria","2014","Cities","Males","From 15 to 24 years","Percentage","10.8",""
"Every week","Bulgaria","2014","Cities","Males","From 25 to 64 years","Percentage","32.8",""
"Every week","Bulgaria","2014","Cities","Males","65 years or over","Percentage","24.4",""
"Every week","Bulgaria","2014","Cities","Females","Total","Percentage","13.3",""
"Every week","Bulgaria","2014","Cities","Females","From 15 to 24 years","Percentage","9.7",""
"Every week","Bulgaria","2014","Cities","Females","From 25 to 64 years","Percentage","16.5",""
"Every week","Bulgaria","2014","Cities","Females","65 years or over","Percentage","5.4",""
"Every week","Czechia","2014","Cities","Total","Total","Percentage","35.3",""
"Every week","Czechia","2014","Cities","Total","From 15 to 24 years","Percentage","36.0",""
"Every week","Czechia","2014","Cities","Total","From 25 to 64 years","Percentage","38.8",""
"Every week","Czechia","2014","Cities","Total","65 years or over","Percentage","26.1",""
"Every week","Czechia","2014","Cities","Males","Total","Percentage","46.1",""
"Every week","Czechia","2014","Cities","Males","From 15 to 24 years","Percentage","45.4",""
"Every week","Czechia","2014","Cities","Males","From 25 to 64 years","Percentage","49.0",""
"Every week","Czechia","2014","Cities","Males","65 years or over","Percentage","37.9",""
"Every week","Czechia","2014","Cities","Females","Total","Percentage","25.8",""
"Every week","Czechia","2014","Cities","Females","From 15 to 24 years","Percentage","22.9",""
"Every week","Czechia","2014","Cities","Females","From 25 to 64 years","Percentage","29.7",""
"Every week","Czechia","2014","Cities","Females","65 years or over","Percentage","17.5",""
"Every week","Denmark","2014","Cities","Total","Total","Percentage","42.1",""
"Every week","Denmark","2014","Cities","Total","From 15 to 24 years","Percentage","32.5",""
"Every week","Denmark","2014","Cities","Total","From 25 to 64 years","Percentage","45.2",""
"Every week","Denmark","2014","Cities","Total","65 years or over","Percentage","40.1",""
"Every week","Denmark","2014","Cities","Males","Total","Percentage","47.9",""
"Every week","Denmark","2014","Cities","Males","From 15 to 24 years","Percentage","37.0",""
"Every week","Denmark","2014","Cities","Males","From 25 to 64 years","Percentage","51.4",""
"Every week","Denmark","2014","Cities","Males","65 years or over","Percentage","44.5",""
"Every week","Denmark","2014","Cities","Females","Total","Percentage","36.5",""
"Every week","Denmark","2014","Cities","Females","From 15 to 24 years","Percentage","28.3",""
"Every week","Denmark","2014","Cities","Females","From 25 to 64 years","Percentage","38.7",""
"Every week","Denmark","2014","Cities","Females","65 years or over","Percentage","37.1",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","Total","Percentage","41.1",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","From 15 to 24 years","Percentage","32.8",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","From 25 to 64 years","Percentage","44.2",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","65 years or over","Percentage","36.9",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","Total","Percentage","47.3",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","From 15 to 24 years","Percentage","34.9",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","From 25 to 64 years","Percentage","50.5",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","65 years or over","Percentage","44.0",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","Total","Percentage","35.3",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","From 15 to 24 years","Percentage","30.7",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","From 25 to 64 years","Percentage","37.7",""
"Every week","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","65 years or over","Percentage","31.8",""
"Every week","Estonia","2014","Cities","Total","Total","Percentage","20.5",""
"Every week","Estonia","2014","Cities","Total","From 15 to 24 years","Percentage","21.7",""
"Every week","Estonia","2014","Cities","Total","From 25 to 64 years","Percentage","24.3",""
"Every week","Estonia","2014","Cities","Total","65 years or over","Percentage","6.2",""
"Every week","Estonia","2014","Cities","Males","Total","Percentage","29.6",""
"Every week","Estonia","2014","Cities","Males","From 15 to 24 years","Percentage","27.2",""
"Every week","Estonia","2014","Cities","Males","From 25 to 64 years","Percentage","32.9",""
"Every week","Estonia","2014","Cities","Males","65 years or over","Percentage","14.8",""
"Every week","Estonia","2014","Cities","Females","Total","Percentage","12.5",""
"Every week","Estonia","2014","Cities","Females","From 15 to 24 years","Percentage","16.6",""
"Every week","Estonia","2014","Cities","Females","From 25 to 64 years","Percentage","15.8",""
"Every week","Estonia","2014","Cities","Females","65 years or over","Percentage","1.9",""
"Every week","Ireland","2014","Cities","Total","Total","Percentage","48.6",""
"Every week","Ireland","2014","Cities","Total","From 15 to 24 years","Percentage","45.0",""
"Every week","Ireland","2014","Cities","Total","From 25 to 64 years","Percentage","51.0",""
"Every week","Ireland","2014","Cities","Total","65 years or over","Percentage","40.3",""
"Every week","Ireland","2014","Cities","Males","Total","Percentage","52.2",""
"Every week","Ireland","2014","Cities","Males","From 15 to 24 years","Percentage","48.7","u"
"Every week","Ireland","2014","Cities","Males","From 25 to 64 years","Percentage","53.9",""
"Every week","Ireland","2014","Cities","Males","65 years or over","Percentage","47.0",""
"Every week","Ireland","2014","Cities","Females","Total","Percentage","45.1",""
"Every week","Ireland","2014","Cities","Females","From 15 to 24 years","Percentage","41.4",""
"Every week","Ireland","2014","Cities","Females","From 25 to 64 years","Percentage","48.2",""
"Every week","Ireland","2014","Cities","Females","65 years or over","Percentage","34.7",""
"Every week","Greece","2014","Cities","Total","Total","Percentage","25.6",""
"Every week","Greece","2014","Cities","Total","From 15 to 24 years","Percentage","34.6",""
"Every week","Greece","2014","Cities","Total","From 25 to 64 years","Percentage","27.8",""
"Every week","Greece","2014","Cities","Total","65 years or over","Percentage","14.1",""
"Every week","Greece","2014","Cities","Males","Total","Percentage","33.6",""
"Every week","Greece","2014","Cities","Males","From 15 to 24 years","Percentage","34.4",""
"Every week","Greece","2014","Cities","Males","From 25 to 64 years","Percentage","36.2",""
"Every week","Greece","2014","Cities","Males","65 years or over","Percentage","23.8",""
"Every week","Greece","2014","Cities","Females","Total","Percentage","18.4",""
"Every week","Greece","2014","Cities","Females","From 15 to 24 years","Percentage","34.8",""
"Every week","Greece","2014","Cities","Females","From 25 to 64 years","Percentage","19.9",""
"Every week","Greece","2014","Cities","Females","65 years or over","Percentage","7.1",""
"Every week","Spain","2014","Cities","Total","Total","Percentage","23.7",""
"Every week","Spain","2014","Cities","Total","From 15 to 24 years","Percentage","21.7",""
"Every week","Spain","2014","Cities","Total","From 25 to 64 years","Percentage","27.8",""
"Every week","Spain","2014","Cities","Total","65 years or over","Percentage","11.0",""
"Every week","Spain","2014","Cities","Males","Total","Percentage","29.4",""
"Every week","Spain","2014","Cities","Males","From 15 to 24 years","Percentage","29.6",""
"Every week","Spain","2014","Cities","Males","From 25 to 64 years","Percentage","32.8",""
"Every week","Spain","2014","Cities","Males","65 years or over","Percentage","15.5",""
"Every week","Spain","2014","Cities","Females","Total","Percentage","18.6",""
"Every week","Spain","2014","Cities","Females","From 15 to 24 years","Percentage","13.7",""
"Every week","Spain","2014","Cities","Females","From 25 to 64 years","Percentage","23.1",""
"Every week","Spain","2014","Cities","Females","65 years or over","Percentage","7.7",""
"Every week","Croatia","2014","Cities","Total","Total","Percentage","18.8",""
"Every week","Croatia","2014","Cities","Total","From 15 to 24 years","Percentage","5.1",""
"Every week","Croatia","2014","Cities","Total","From 25 to 64 years","Percentage","24.5",""
"Every week","Croatia","2014","Cities","Total","65 years or over","Percentage","12.8",""
"Every week","Croatia","2014","Cities","Males","Total","Percentage","26.9",""
"Every week","Croatia","2014","Cities","Males","From 15 to 24 years","Percentage","4.8","u"
"Every week","Croatia","2014","Cities","Males","From 25 to 64 years","Percentage","33.6",""
"Every week","Croatia","2014","Cities","Males","65 years or over","Percentage","21.9",""
"Every week","Croatia","2014","Cities","Females","Total","Percentage","12.6",""
"Every week","Croatia","2014","Cities","Females","From 15 to 24 years","Percentage","5.3",""
"Every week","Croatia","2014","Cities","Females","From 25 to 64 years","Percentage","17.1",""
"Every week","Croatia","2014","Cities","Females","65 years or over","Percentage","6.8",""
"Every week","Italy","2014","Cities","Total","Total","Percentage","23.9","d"
"Every week","Italy","2014","Cities","Total","From 15 to 24 years","Percentage","20.7","d"
"Every week","Italy","2014","Cities","Total","From 25 to 64 years","Percentage","27.7","d"
"Every week","Italy","2014","Cities","Total","65 years or over","Percentage","15.7","d"
"Every week","Italy","2014","Cities","Males","Total","Percentage","32.3","d"
"Every week","Italy","2014","Cities","Males","From 15 to 24 years","Percentage","28.3","d"
"Every week","Italy","2014","Cities","Males","From 25 to 64 years","Percentage","37.1","d"
"Every week","Italy","2014","Cities","Males","65 years or over","Percentage","21.2","d"
"Every week","Italy","2014","Cities","Females","Total","Percentage","16.6","d"
"Every week","Italy","2014","Cities","Females","From 15 to 24 years","Percentage","12.4","d"
"Every week","Italy","2014","Cities","Females","From 25 to 64 years","Percentage","19.5","d"
"Every week","Italy","2014","Cities","Females","65 years or over","Percentage","11.5","d"
"Every week","Cyprus","2014","Cities","Total","Total","Percentage","17.7",""
"Every week","Cyprus","2014","Cities","Total","From 15 to 24 years","Percentage","14.0",""
"Every week","Cyprus","2014","Cities","Total","From 25 to 64 years","Percentage","19.4",""
"Every week","Cyprus","2014","Cities","Total","65 years or over","Percentage","13.8",""
"Every week","Cyprus","2014","Cities","Males","Total","Percentage","27.7",""
"Every week","Cyprus","2014","Cities","Males","From 15 to 24 years","Percentage","18.9",""
"Every week","Cyprus","2014","Cities","Males","From 25 to 64 years","Percentage","30.3",""
"Every week","Cyprus","2014","Cities","Males","65 years or over","Percentage","24.3",""
"Every week","Cyprus","2014","Cities","Females","Total","Percentage","9.0",""
"Every week","Cyprus","2014","Cities","Females","From 15 to 24 years","Percentage","9.8",""
"Every week","Cyprus","2014","Cities","Females","From 25 to 64 years","Percentage","9.8",""
"Every week","Cyprus","2014","Cities","Females","65 years or over","Percentage","5.0",""
"Every week","Latvia","2014","Cities","Total","Total","Percentage","17.0",""
"Every week","Latvia","2014","Cities","Total","From 15 to 24 years","Percentage","14.8",""
"Every week","Latvia","2014","Cities","Total","From 25 to 64 years","Percentage","20.9",""
"Every week","Latvia","2014","Cities","Total","65 years or over","Percentage","6.4",""
"Every week","Latvia","2014","Cities","Males","Total","Percentage","25.6",""
"Every week","Latvia","2014","Cities","Males","From 15 to 24 years","Percentage","21.9",""
"Every week","Latvia","2014","Cities","Males","From 25 to 64 years","Percentage","29.1",""
"Every week","Latvia","2014","Cities","Males","65 years or over","Percentage","13.3",""
"Every week","Latvia","2014","Cities","Females","Total","Percentage","10.8",""
"Every week","Latvia","2014","Cities","Females","From 15 to 24 years","Percentage","8.1",""
"Every week","Latvia","2014","Cities","Females","From 25 to 64 years","Percentage","14.3",""
"Every week","Latvia","2014","Cities","Females","65 years or over","Percentage","3.4",""
"Every week","Lithuania","2014","Cities","Total","Total","Percentage","13.2",""
"Every week","Lithuania","2014","Cities","Total","From 15 to 24 years","Percentage","10.6",""
"Every week","Lithuania","2014","Cities","Total","From 25 to 64 years","Percentage","16.5",""
"Every week","Lithuania","2014","Cities","Total","65 years or over","Percentage","5.0",""
"Every week","Lithuania","2014","Cities","Males","Total","Percentage","20.7",""
"Every week","Lithuania","2014","Cities","Males","From 15 to 24 years","Percentage","12.8",""
"Every week","Lithuania","2014","Cities","Males","From 25 to 64 years","Percentage","25.0",""
"Every week","Lithuania","2014","Cities","Males","65 years or over","Percentage","11.7",""
"Every week","Lithuania","2014","Cities","Females","Total","Percentage","7.4",""
"Every week","Lithuania","2014","Cities","Females","From 15 to 24 years","Percentage","8.1",""
"Every week","Lithuania","2014","Cities","Females","From 25 to 64 years","Percentage","9.5",""
"Every week","Lithuania","2014","Cities","Females","65 years or over","Percentage","1.8",""
"Every week","Luxembourg","2014","Cities","Total","Total","Percentage","46.0",""
"Every week","Luxembourg","2014","Cities","Total","From 15 to 24 years","Percentage","38.9",""
"Every week","Luxembourg","2014","Cities","Total","From 25 to 64 years","Percentage","47.8",""
"Every week","Luxembourg","2014","Cities","Total","65 years or over","Percentage","42.8",""
"Every week","Luxembourg","2014","Cities","Males","Total","Percentage","51.7",""
"Every week","Luxembourg","2014","Cities","Males","From 15 to 24 years","Percentage","50.0","u"
"Every week","Luxembourg","2014","Cities","Males","From 25 to 64 years","Percentage","54.1",""
"Every week","Luxembourg","2014","Cities","Males","65 years or over","Percentage","41.1",""
"Every week","Luxembourg","2014","Cities","Females","Total","Percentage","40.0",""
"Every week","Luxembourg","2014","Cities","Females","From 15 to 24 years","Percentage","25.8","u"
"Every week","Luxembourg","2014","Cities","Females","From 25 to 64 years","Percentage","40.9",""
"Every week","Luxembourg","2014","Cities","Females","65 years or over","Percentage","44.2","u"
"Every week","Hungary","2014","Cities","Total","Total","Percentage","20.1",""
"Every week","Hungary","2014","Cities","Total","From 15 to 24 years","Percentage","20.9",""
"Every week","Hungary","2014","Cities","Total","From 25 to 64 years","Percentage","21.8",""
"Every week","Hungary","2014","Cities","Total","65 years or over","Percentage","14.4",""
"Every week","Hungary","2014","Cities","Males","Total","Percentage","29.7",""
"Every week","Hungary","2014","Cities","Males","From 15 to 24 years","Percentage","29.4",""
"Every week","Hungary","2014","Cities","Males","From 25 to 64 years","Percentage","31.3",""
"Every week","Hungary","2014","Cities","Males","65 years or over","Percentage","23.9",""
"Every week","Hungary","2014","Cities","Females","Total","Percentage","12.1",""
"Every week","Hungary","2014","Cities","Females","From 15 to 24 years","Percentage","12.3",""
"Every week","Hungary","2014","Cities","Females","From 25 to 64 years","Percentage","13.4",""
"Every week","Hungary","2014","Cities","Females","65 years or over","Percentage","8.6",""
"Every week","Malta","2014","Cities","Total","Total","Percentage","23.8",""
"Every week","Malta","2014","Cities","Total","From 15 to 24 years","Percentage","37.7",""
"Every week","Malta","2014","Cities","Total","From 25 to 64 years","Percentage","25.1",""
"Every week","Malta","2014","Cities","Total","65 years or over","Percentage","10.0",""
"Every week","Malta","2014","Cities","Males","Total","Percentage","31.3",""
"Every week","Malta","2014","Cities","Males","From 15 to 24 years","Percentage","48.1",""
"Every week","Malta","2014","Cities","Males","From 25 to 64 years","Percentage","32.7",""
"Every week","Malta","2014","Cities","Males","65 years or over","Percentage","12.5",""
"Every week","Malta","2014","Cities","Females","Total","Percentage","16.3",""
"Every week","Malta","2014","Cities","Females","From 15 to 24 years","Percentage","27.1",""
"Every week","Malta","2014","Cities","Females","From 25 to 64 years","Percentage","17.0",""
"Every week","Malta","2014","Cities","Females","65 years or over","Percentage","8.1",""
"Every week","Austria","2014","Cities","Total","Total","Percentage","31.0",""
"Every week","Austria","2014","Cities","Total","From 15 to 24 years","Percentage","26.1",""
"Every week","Austria","2014","Cities","Total","From 25 to 64 years","Percentage","34.2",""
"Every week","Austria","2014","Cities","Total","65 years or over","Percentage","24.8",""
"Every week","Austria","2014","Cities","Males","Total","Percentage","39.7",""
"Every week","Austria","2014","Cities","Males","From 15 to 24 years","Percentage","30.3",""
"Every week","Austria","2014","Cities","Males","From 25 to 64 years","Percentage","44.1",""
"Every week","Austria","2014","Cities","Males","65 years or over","Percentage","31.6",""
"Every week","Austria","2014","Cities","Females","Total","Percentage","23.1",""
"Every week","Austria","2014","Cities","Females","From 15 to 24 years","Percentage","21.4",""
"Every week","Austria","2014","Cities","Females","From 25 to 64 years","Percentage","24.5",""
"Every week","Austria","2014","Cities","Females","65 years or over","Percentage","20.4",""
"Every week","Poland","2014","Cities","Total","Total","Percentage","20.6",""
"Every week","Poland","2014","Cities","Total","From 15 to 24 years","Percentage","21.1",""
"Every week","Poland","2014","Cities","Total","From 25 to 64 years","Percentage","23.7",""
"Every week","Poland","2014","Cities","Total","65 years or over","Percentage","9.3",""
"Every week","Poland","2014","Cities","Males","Total","Percentage","29.6",""
"Every week","Poland","2014","Cities","Males","From 15 to 24 years","Percentage","24.1",""
"Every week","Poland","2014","Cities","Males","From 25 to 64 years","Percentage","33.8",""
"Every week","Poland","2014","Cities","Males","65 years or over","Percentage","16.4",""
"Every week","Poland","2014","Cities","Females","Total","Percentage","13.2",""
"Every week","Poland","2014","Cities","Females","From 15 to 24 years","Percentage","18.1",""
"Every week","Poland","2014","Cities","Females","From 25 to 64 years","Percentage","15.2",""
"Every week","Poland","2014","Cities","Females","65 years or over","Percentage","4.8",""
"Every week","Portugal","2014","Cities","Total","Total","Percentage","20.5",""
"Every week","Portugal","2014","Cities","Total","From 15 to 24 years","Percentage","16.5",""
"Every week","Portugal","2014","Cities","Total","From 25 to 64 years","Percentage","24.3",""
"Every week","Portugal","2014","Cities","Total","65 years or over","Percentage","12.1",""
"Every week","Portugal","2014","Cities","Males","Total","Percentage","26.7",""
"Every week","Portugal","2014","Cities","Males","From 15 to 24 years","Percentage","21.0",""
"Every week","Portugal","2014","Cities","Males","From 25 to 64 years","Percentage","31.2",""
"Every week","Portugal","2014","Cities","Males","65 years or over","Percentage","15.9",""
"Every week","Portugal","2014","Cities","Females","Total","Percentage","15.3",""
"Every week","Portugal","2014","Cities","Females","From 15 to 24 years","Percentage","12.1",""
"Every week","Portugal","2014","Cities","Females","From 25 to 64 years","Percentage","18.2",""
"Every week","Portugal","2014","Cities","Females","65 years or over","Percentage","9.5",""
"Every week","Romania","2014","Cities","Total","Total","Percentage","11.9",""
"Every week","Romania","2014","Cities","Total","From 15 to 24 years","Percentage","4.2",""
"Every week","Romania","2014","Cities","Total","From 25 to 64 years","Percentage","14.3",""
"Every week","Romania","2014","Cities","Total","65 years or over","Percentage","6.7",""
"Every week","Romania","2014","Cities","Males","Total","Percentage","21.0",""
"Every week","Romania","2014","Cities","Males","From 15 to 24 years","Percentage","7.3",""
"Every week","Romania","2014","Cities","Males","From 25 to 64 years","Percentage","24.4",""
"Every week","Romania","2014","Cities","Males","65 years or over","Percentage","14.0",""
"Every week","Romania","2014","Cities","Females","Total","Percentage","3.9",""
"Every week","Romania","2014","Cities","Females","From 15 to 24 years","Percentage","1.3",""
"Every week","Romania","2014","Cities","Females","From 25 to 64 years","Percentage","4.9",""
"Every week","Romania","2014","Cities","Females","65 years or over","Percentage","2.0",""
"Every week","Slovenia","2014","Cities","Total","Total","Percentage","27.5",""
"Every week","Slovenia","2014","Cities","Total","From 15 to 24 years","Percentage","16.5",""
"Every week","Slovenia","2014","Cities","Total","From 25 to 64 years","Percentage","30.6",""
"Every week","Slovenia","2014","Cities","Total","65 years or over","Percentage","24.9",""
"Every week","Slovenia","2014","Cities","Males","Total","Percentage","39.7",""
"Every week","Slovenia","2014","Cities","Males","From 15 to 24 years","Percentage","18.2",""
"Every week","Slovenia","2014","Cities","Males","From 25 to 64 years","Percentage","44.7",""
"Every week","Slovenia","2014","Cities","Males","65 years or over","Percentage","36.9",""
"Every week","Slovenia","2014","Cities","Females","Total","Percentage","17.3",""
"Every week","Slovenia","2014","Cities","Females","From 15 to 24 years","Percentage","15.0",""
"Every week","Slovenia","2014","Cities","Females","From 25 to 64 years","Percentage","17.7",""
"Every week","Slovenia","2014","Cities","Females","65 years or over","Percentage","17.4",""
"Every week","Slovakia","2014","Cities","Total","Total","Percentage","16.2",""
"Every week","Slovakia","2014","Cities","Total","From 15 to 24 years","Percentage","11.0",""
"Every week","Slovakia","2014","Cities","Total","From 25 to 64 years","Percentage","19.0",""
"Every week","Slovakia","2014","Cities","Total","65 years or over","Percentage","9.3",""
"Every week","Slovakia","2014","Cities","Males","Total","Percentage","23.4",""
"Every week","Slovakia","2014","Cities","Males","From 15 to 24 years","Percentage","15.6",""
"Every week","Slovakia","2014","Cities","Males","From 25 to 64 years","Percentage","26.0",""
"Every week","Slovakia","2014","Cities","Males","65 years or over","Percentage","17.5",""
"Every week","Slovakia","2014","Cities","Females","Total","Percentage","9.4",""
"Every week","Slovakia","2014","Cities","Females","From 15 to 24 years","Percentage","6.7",""
"Every week","Slovakia","2014","Cities","Females","From 25 to 64 years","Percentage","11.6",""
"Every week","Slovakia","2014","Cities","Females","65 years or over","Percentage","4.1",""
"Every week","Finland","2014","Cities","Total","Total","Percentage","39.1",""
"Every week","Finland","2014","Cities","Total","From 15 to 24 years","Percentage","26.9",""
"Every week","Finland","2014","Cities","Total","From 25 to 64 years","Percentage","43.7",""
"Every week","Finland","2014","Cities","Total","65 years or over","Percentage","33.5",""
"Every week","Finland","2014","Cities","Males","Total","Percentage","46.4",""
"Every week","Finland","2014","Cities","Males","From 15 to 24 years","Percentage","29.6",""
"Every week","Finland","2014","Cities","Males","From 25 to 64 years","Percentage","50.7",""
"Every week","Finland","2014","Cities","Males","65 years or over","Percentage","43.9",""
"Every week","Finland","2014","Cities","Females","Total","Percentage","33.4",""
"Every week","Finland","2014","Cities","Females","From 15 to 24 years","Percentage","24.9",""
"Every week","Finland","2014","Cities","Females","From 25 to 64 years","Percentage","37.8",""
"Every week","Finland","2014","Cities","Females","65 years or over","Percentage","26.4",""
"Every week","Sweden","2014","Cities","Total","Total","Percentage","35.5",""
"Every week","Sweden","2014","Cities","Total","From 15 to 24 years","Percentage","11.3",""
"Every week","Sweden","2014","Cities","Total","From 25 to 64 years","Percentage","41.2",""
"Every week","Sweden","2014","Cities","Total","65 years or over","Percentage","35.8",""
"Every week","Sweden","2014","Cities","Males","Total","Percentage","41.3",""
"Every week","Sweden","2014","Cities","Males","From 15 to 24 years","Percentage","12.1",""
"Every week","Sweden","2014","Cities","Males","From 25 to 64 years","Percentage","47.1",""
"Every week","Sweden","2014","Cities","Males","65 years or over","Percentage","44.3",""
"Every week","Sweden","2014","Cities","Females","Total","Percentage","29.7",""
"Every week","Sweden","2014","Cities","Females","From 15 to 24 years","Percentage","10.3",""
"Every week","Sweden","2014","Cities","Females","From 25 to 64 years","Percentage","34.8",""
"Every week","Sweden","2014","Cities","Females","65 years or over","Percentage","28.4",""
"Every week","United Kingdom","2014","Cities","Total","Total","Percentage","43.0",""
"Every week","United Kingdom","2014","Cities","Total","From 15 to 24 years","Percentage","28.6",""
"Every week","United Kingdom","2014","Cities","Total","From 25 to 64 years","Percentage","47.1",""
"Every week","United Kingdom","2014","Cities","Total","65 years or over","Percentage","37.0",""
"Every week","United Kingdom","2014","Cities","Males","Total","Percentage","49.6",""
"Every week","United Kingdom","2014","Cities","Males","From 15 to 24 years","Percentage","33.2",""
"Every week","United Kingdom","2014","Cities","Males","From 25 to 64 years","Percentage","53.5",""
"Every week","United Kingdom","2014","Cities","Males","65 years or over","Percentage","44.1",""
"Every week","United Kingdom","2014","Cities","Females","Total","Percentage","37.4",""
"Every week","United Kingdom","2014","Cities","Females","From 15 to 24 years","Percentage","25.4",""
"Every week","United Kingdom","2014","Cities","Females","From 25 to 64 years","Percentage","41.5",""
"Every week","United Kingdom","2014","Cities","Females","65 years or over","Percentage","31.3",""
"Every week","Iceland","2014","Cities","Total","Total","Percentage","22.2",""
"Every week","Iceland","2014","Cities","Total","From 15 to 24 years","Percentage","9.0",""
"Every week","Iceland","2014","Cities","Total","From 25 to 64 years","Percentage","26.2",""
"Every week","Iceland","2014","Cities","Total","65 years or over","Percentage","19.7",""
"Every week","Iceland","2014","Cities","Males","Total","Percentage","27.4",""
"Every week","Iceland","2014","Cities","Males","From 15 to 24 years","Percentage","9.8",""
"Every week","Iceland","2014","Cities","Males","From 25 to 64 years","Percentage","32.1",""
"Every week","Iceland","2014","Cities","Males","65 years or over","Percentage","27.2",""
"Every week","Iceland","2014","Cities","Females","Total","Percentage","16.8",""
"Every week","Iceland","2014","Cities","Females","From 15 to 24 years","Percentage","8.2",""
"Every week","Iceland","2014","Cities","Females","From 25 to 64 years","Percentage","20.1",""
"Every week","Iceland","2014","Cities","Females","65 years or over","Percentage","12.2",""
"Every week","Norway","2014","Cities","Total","Total","Percentage","34.8",""
"Every week","Norway","2014","Cities","Total","From 15 to 24 years","Percentage","21.9",""
"Every week","Norway","2014","Cities","Total","From 25 to 64 years","Percentage","38.0",""
"Every week","Norway","2014","Cities","Total","65 years or over","Percentage","34.3",""
"Every week","Norway","2014","Cities","Males","Total","Percentage","40.8",""
"Every week","Norway","2014","Cities","Males","From 15 to 24 years","Percentage","30.2",""
"Every week","Norway","2014","Cities","Males","From 25 to 64 years","Percentage","43.5",""
"Every week","Norway","2014","Cities","Males","65 years or over","Percentage","40.3",""
"Every week","Norway","2014","Cities","Females","Total","Percentage","28.7",""
"Every week","Norway","2014","Cities","Females","From 15 to 24 years","Percentage","14.0",""
"Every week","Norway","2014","Cities","Females","From 25 to 64 years","Percentage","32.5",""
"Every week","Norway","2014","Cities","Females","65 years or over","Percentage","28.3",""
"Every week","Turkey","2014","Cities","Total","Total","Percentage","0",""
"Every week","Turkey","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every week","Turkey","2014","Cities","Total","From 25 to 64 years","Percentage","0",""
"Every week","Turkey","2014","Cities","Total","65 years or over","Percentage","0",""
"Every week","Turkey","2014","Cities","Males","Total","Percentage","0",""
"Every week","Turkey","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every week","Turkey","2014","Cities","Males","From 25 to 64 years","Percentage","0",""
